latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.901,-40.075,310.7,1.1,1,10/19/2018,125,T,81,6.0NRT,289.5,10,N
-17.903,-40.085,308.2,1,1,10/19/2018,125,T,74,6.0NRT,289.9,8.1,N
-17.255,-39.397,305.5,1.1,1.1,10/19/2018,125,T,65,6.0NRT,289.9,7.4,N
-17.257,-39.407,330,1.1,1.1,10/19/2018,125,T,100,6.0NRT,290.6,34.1,N
-17.235,-39.518,304.5,1.1,1.1,10/19/2018,125,T,60,6.0NRT,289.5,6,N
-17.226,-39.52,302.7,1.1,1.1,10/19/2018,125,T,51,6.0NRT,290.3,4.8,N
-16.702,-40.123,315.9,1.1,1,10/19/2018,125,T,92,6.0NRT,289.8,15.3,N
-16.704,-40.132,320,1.1,1,10/19/2018,125,T,100,6.0NRT,289.9,19.3,N
-16.693,-40.124,305.6,1.1,1,10/19/2018,125,T,65,6.0NRT,288.9,7.4,N
-16.569,-40.146,300.3,1.1,1,10/19/2018,125,T,23,6.0NRT,288.8,3.6,N
-16.642,-42.109,303.4,1,1,10/19/2018,125,T,55,6.0NRT,289.5,4,N
-15.102,-43.316,326.5,1,1,10/19/2018,125,T,100,6.0NRT,293.5,23.8,N
-15.093,-43.318,316.1,1,1,10/19/2018,125,T,93,6.0NRT,292.9,12.9,N
-13.954,-45.832,308,1.3,1.1,10/19/2018,125,T,60,6.0NRT,283.2,11.7,N
-13.646,-43.619,315.5,1,1,10/19/2018,125,T,91,6.0NRT,294.2,11.9,N
-13.648,-43.628,317.1,1,1,10/19/2018,125,T,94,6.0NRT,294.5,13.4,N
-13.942,-45.822,318.8,1.3,1.1,10/19/2018,125,T,97,6.0NRT,283.8,24,N
-13.943,-45.834,309,1.3,1.1,10/19/2018,125,T,49,6.0NRT,283.1,12.1,N
-13.637,-43.62,310.2,1,1,10/19/2018,125,T,79,6.0NRT,293.8,7.9,N
-13.638,-43.63,308.5,1,1,10/19/2018,125,T,75,6.0NRT,294.2,6.6,N
-13.932,-45.823,323.5,1.3,1.1,10/19/2018,125,T,100,6.0NRT,284.5,30.3,N
-13.933,-45.835,339.1,1.3,1.1,10/19/2018,125,T,100,6.0NRT,285.8,61.7,N
-13.935,-45.847,316.8,1.3,1.1,10/19/2018,125,T,84,6.0NRT,284.5,21.2,N
-13.923,-45.837,310.7,1.3,1.1,10/19/2018,125,T,78,6.0NRT,284.1,14.8,N
-12.808,-40.145,304.7,1.2,1.1,10/19/2018,125,T,61,6.0NRT,291.6,6.1,N
-12.613,-39.945,306.8,1.2,1.1,10/19/2018,125,T,69,6.0NRT,291.9,8.6,N
-13.015,-43.979,303.3,1.1,1,10/19/2018,125,T,55,6.0NRT,292.4,3.9,N
-12.231,-43.422,305.2,1,1,10/19/2018,125,T,63,6.0NRT,294,3.8,N
-10.006,-36.024,305.9,2.5,1.5,10/19/2018,125,T,66,6.0NRT,292.8,22.8,N
-9.78,-35.934,317.3,2.6,1.5,10/19/2018,125,T,95,6.0NRT,291.7,59.7,N
-9.802,-36.374,302.5,2.4,1.5,10/19/2018,125,T,49,6.0NRT,291.5,16.5,N
-10.839,-44.711,305.3,1.1,1,10/19/2018,125,T,64,6.0NRT,291.2,6.1,N
-10.685,-49.558,302.1,2.2,1.4,10/19/2018,125,T,34,6.0NRT,283.9,16.7,N
-6.556,-43.224,317.7,1,1,10/19/2018,130,T,95,6.0NRT,293.1,13.8,N
-6.557,-43.233,339.5,1,1,10/19/2018,130,T,100,6.0NRT,293.8,41.4,N
-6.094,-45.889,308.1,1.1,1,10/19/2018,130,T,74,6.0NRT,283.7,8.4,N
-6.088,-45.886,305.9,1.1,1,10/19/2018,130,T,66,6.0NRT,284.1,7.2,N
-5.499,-43.873,310.7,1,1,10/19/2018,130,T,81,6.0NRT,294.5,8.4,N
-5.637,-45.244,305.4,1,1,10/19/2018,130,T,64,6.0NRT,292.9,4.8,N
-5.629,-45.242,328.4,1,1,10/19/2018,130,T,100,6.0NRT,293.7,26.6,N
-5.63,-45.251,307.3,1,1,10/19/2018,130,T,71,6.0NRT,292.2,6.5,N
-5.475,-44.614,306.2,1,1,10/19/2018,130,T,67,6.0NRT,293.8,4.9,N
-5.466,-44.616,307.6,1,1,10/19/2018,130,T,72,6.0NRT,294.2,5.9,N
-5.413,-44.373,305.2,1,1,10/19/2018,130,T,63,6.0NRT,293.7,4.6,N
-5.485,-45.007,305.5,1,1,10/19/2018,130,T,64,6.0NRT,293.4,5,N
-5.418,-44.989,313.3,1,1,10/19/2018,130,T,87,6.0NRT,294.3,10.3,N
-5.376,-44.954,309.1,1,1,10/19/2018,130,T,76,6.0NRT,293.6,7.1,N
-5.378,-44.963,307.1,1,1,10/19/2018,130,T,70,6.0NRT,293.6,5.7,N
-5.061,-43.769,322.2,1,1,10/19/2018,130,T,100,6.0NRT,293.3,18.8,N
-5.167,-44.84,304,1,1,10/19/2018,130,T,58,6.0NRT,293.5,3.6,N
-5.434,-47.034,302.8,1.2,1.1,10/19/2018,130,T,51,6.0NRT,283.1,6.6,N
-4.928,-43.81,305.7,1,1,10/19/2018,130,T,60,6.0NRT,294.2,4.9,N
-5.343,-46.823,306.8,1.2,1.1,10/19/2018,130,T,69,6.0NRT,288.1,8.2,N
-4.823,-44.359,306,1,1,10/19/2018,130,T,62,6.0NRT,294.1,4.8,N
-5.094,-46.941,305.6,1.2,1.1,10/19/2018,130,T,65,6.0NRT,290.9,7.4,N
-4.913,-45.716,324.6,1.1,1,10/19/2018,130,T,100,6.0NRT,294.1,22.4,N
-4.915,-45.725,304.4,1.1,1,10/19/2018,130,T,60,6.0NRT,292.9,4.4,N
-4.904,-45.717,337.8,1.1,1,10/19/2018,130,T,100,6.0NRT,294.1,41.1,N
-4.905,-45.726,315.5,1.1,1,10/19/2018,130,T,91,6.0NRT,293,12.6,N
-4.812,-45.257,306.4,1,1,10/19/2018,130,T,68,6.0NRT,293.7,5.4,N
-4.567,-47.183,307.3,1.2,1.1,10/19/2018,130,T,71,6.0NRT,291.9,8.3,N
-4.555,-47.174,304.9,1.2,1.1,10/19/2018,130,T,62,6.0NRT,291.4,6.3,N
-4.557,-47.185,305,1.2,1.1,10/19/2018,130,T,62,6.0NRT,291.4,6.4,N
-4.416,-47.206,304.6,1.2,1.1,10/19/2018,130,T,61,6.0NRT,291.4,6.1,N
-4.202,-47.495,311.7,1.3,1.1,10/19/2018,130,T,83,6.0NRT,290.2,12.7,N
-4.201,-47.491,304.7,1.3,1.1,10/19/2018,130,T,61,6.0NRT,290,6.9,N
-4.203,-47.502,305.9,1.3,1.1,10/19/2018,130,T,66,6.0NRT,290.2,7.9,N
-4.114,-47.741,304.7,1.3,1.1,10/19/2018,130,T,61,6.0NRT,288.4,7.3,N
-4.115,-47.752,310,1.3,1.1,10/19/2018,130,T,79,6.0NRT,288.5,12.5,N
-4.105,-47.754,306.4,1.3,1.1,10/19/2018,130,T,68,6.0NRT,288.2,9,N
-4.197,-48.571,317.8,1.5,1.2,10/19/2018,130,T,96,6.0NRT,276,29.5,N
-4.184,-48.56,310.8,1.5,1.2,10/19/2018,130,T,81,6.0NRT,275.1,18.9,N
-4.186,-48.573,334.7,1.5,1.2,10/19/2018,130,T,100,6.0NRT,276,64.1,N
-4.086,-48.278,308,1.4,1.2,10/19/2018,130,T,73,6.0NRT,288.3,12.4,N
-4.088,-48.291,312,1.4,1.2,10/19/2018,130,T,84,6.0NRT,287.8,17.3,N
-3.573,-50.22,311.2,1.9,1.4,10/19/2018,130,T,82,6.0NRT,289,23.8,N
-3.569,-50.226,313.1,1.9,1.4,10/19/2018,130,T,86,6.0NRT,289,28,N
