latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,incendio,fecha,temperatura,humedad,pr_atm,temp_min,temp_max
-12.868,-68.352,375.1,1.0,1.0,10/19/2018,305,T,100,6.0NRT,298.0,136.3,N,1,2018-10-19,305.038,60,996.84,305.038,305.038
-12.857999999999999,-68.344,428.8,1.0,1.0,10/19/2018,305,T,100,6.0NRT,303.9,489.2,N,1,2018-10-19,305.038,60,996.84,305.038,305.038
-12.859000000000002,-68.354,352.4,1.0,1.0,10/19/2018,305,T,100,6.0NRT,295.2,66.6,N,1,2018-10-19,305.038,60,996.84,305.038,305.038
-12.849,-68.346,360.9,1.0,1.0,10/19/2018,305,T,100,6.0NRT,294.5,88.8,N,1,2018-10-19,305.038,60,996.84,305.038,305.038
-12.85,-68.355,327.2,1.0,1.0,10/19/2018,305,T,100,6.0NRT,293.4,22.6,N,1,2018-10-19,305.038,60,996.84,305.038,305.038
-12.812999999999999,-69.648,302.6,1.1,1.1,10/19/2018,305,T,50,6.0NRT,284.0,5.8,N,0,2018-10-19,300.15,78,1011.0,300.15,300.15
-6.48,-75.76899999999999,301.7,2.5,1.5,10/19/2018,305,T,33,6.0NRT,285.7,15.8,N,0,2018-10-19,297.15,94,1013.0,297.15,297.15
3.8760000000000003,-71.89699999999999,314.6,1.0,1.0,10/19/2018,310,T,90,6.0NRT,272.4,14.6,N,1,2018-10-19,299.388,98,995.06,299.388,299.388
-12.849,-43.725,302.6,1.1,1.0,10/19/2018,430,A,14,6.0NRT,290.6,5.8,N,0,2018-10-19,302.088,64,961.26,302.088,302.088
-12.55,-48.817,311.5,1.3,1.1,10/19/2018,430,A,83,6.0NRT,285.2,14.4,N,1,2018-10-19,304.338,69,980.3,304.338,304.338
-12.552,-48.806000000000004,316.5,1.3,1.1,10/19/2018,430,A,93,6.0NRT,285.6,19.8,N,1,2018-10-19,304.338,69,980.3,304.338,304.338
-13.636,-43.623999999999995,312.6,1.1,1.1,10/19/2018,430,A,85,6.0NRT,291.2,12.6,N,1,2018-10-19,299.063,72,966.2,299.063,299.063
-13.638,-43.614,306.1,1.1,1.1,10/19/2018,430,A,67,6.0NRT,290.4,7.2,N,1,2018-10-19,299.063,72,966.2,299.063,299.063
-13.642000000000001,-43.62,313.2,1.1,1.1,10/19/2018,430,A,86,6.0NRT,291.4,13.2,N,1,2018-10-19,299.063,72,966.2,299.063,299.063
-13.925999999999998,-45.839,311.5,1.0,1.0,10/19/2018,430,A,24,6.0NRT,286.0,10.2,N,0,2018-10-19,295.038,90,938.8,295.038,295.038
-13.927999999999999,-45.82899999999999,335.9,1.0,1.0,10/19/2018,430,A,100,6.0NRT,286.7,36.3,N,1,2018-10-19,295.038,90,938.8,295.038,295.038
-13.935,-45.84,313.1,1.0,1.0,10/19/2018,430,A,79,6.0NRT,285.3,11.8,N,1,2018-10-19,295.038,90,938.8,295.038,295.038
-13.937999999999999,-45.821999999999996,313.8,1.0,1.0,10/19/2018,430,A,83,6.0NRT,283.8,12.6,N,1,2018-10-19,295.038,90,938.8,295.038,295.038
-13.939,-45.812,306.9,1.0,1.0,10/19/2018,430,A,11,6.0NRT,281.1,7.5,N,0,2018-10-19,295.038,90,938.8,295.038,295.038
-13.947000000000001,-45.823,309.6,1.0,1.0,10/19/2018,430,A,55,6.0NRT,282.5,9.7,N,0,2018-10-19,295.038,90,938.8,295.038,295.038
-15.809000000000001,-42.533,303.2,1.4,1.2,10/19/2018,430,A,54,6.0NRT,285.4,9.6,N,0,2018-10-19,295.663,63,920.08,295.663,295.663
-2.5610000000000004,-48.113,306.0,1.6,1.3,10/19/2018,425,A,66,6.0NRT,289.7,12.7,N,1,2018-10-19,307.688,51,1012.73,307.688,307.688
-4.107,-47.747,303.8,1.4,1.2,10/19/2018,425,A,57,6.0NRT,291.0,8.0,N,0,2018-10-19,307.088,50,999.6,307.088,307.088
-4.112,-47.74100000000001,302.3,1.4,1.2,10/19/2018,425,A,48,6.0NRT,291.1,6.8,N,0,2018-10-19,307.088,50,999.6,307.088,307.088
-4.084,-48.285,303.8,1.6,1.2,10/19/2018,425,A,57,6.0NRT,289.7,10.6,N,0,2018-10-19,307.088,50,999.6,307.088,307.088
-4.073,-48.816,302.5,1.7,1.3,10/19/2018,425,A,49,6.0NRT,289.2,9.1,N,0,2018-10-19,307.163,51,1007.05,307.163,307.163
-4.147,-48.771,300.2,1.7,1.3,10/19/2018,425,A,22,6.0NRT,284.5,7.6,N,0,2018-10-19,307.163,51,1007.05,307.163,307.163
-4.18,-48.562,316.2,1.6,1.3,10/19/2018,425,A,93,6.0NRT,289.2,29.1,N,1,2018-10-19,307.163,51,1007.05,307.163,307.163
-4.82,-44.351000000000006,306.1,1.0,1.0,10/19/2018,425,A,67,6.0NRT,293.2,5.8,N,1,2018-10-19,301.588,100,1007.7,301.588,301.588
-4.191,-48.56399999999999,318.3,1.6,1.3,10/19/2018,425,A,97,6.0NRT,289.8,32.7,N,1,2018-10-19,307.163,51,1007.05,307.163,307.163
-4.559,-47.177,305.0,1.3,1.1,10/19/2018,425,A,62,6.0NRT,289.2,8.1,N,0,2018-10-19,306.238,53,990.52,306.238,306.238
-4.558,-47.172,301.2,1.3,1.1,10/19/2018,425,A,19,6.0NRT,289.2,4.7,N,0,2018-10-19,306.238,53,990.52,306.238,306.238
-4.9030000000000005,-45.714,314.4,1.1,1.0,10/19/2018,425,A,89,6.0NRT,291.3,14.4,N,1,2018-10-19,301.738,89,1004.14,301.738,301.738
-5.367000000000001,-44.95399999999999,308.1,1.0,1.0,10/19/2018,425,A,74,6.0NRT,290.7,7.2,N,1,2018-10-19,308.338,48,1005.27,308.338,308.338
-5.096,-46.93600000000001,300.5,1.2,1.1,10/19/2018,425,A,29,6.0NRT,285.6,5.9,N,0,2018-10-19,305.163,62,988.17,305.163,305.163
