latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,incendio,fecha,temperatura,humedad,pr_atm,temp_min,temp_max
-13.148,-66.92,326.5,1.3,1.1,10/19/2018,1820,A,52,6.0NRT,297.3,16.5,D,0,2018-10-19,302.96,66,995.31,302.96,302.96
-13.15,-66.932,347.4,1.3,1.1,10/19/2018,1820,A,93,6.0NRT,300.2,63.1,D,1,2018-10-19,302.96,66,995.31,302.96,302.96
-13.152000000000001,-66.943,351.1,1.3,1.1,10/19/2018,1820,A,95,6.0NRT,300.8,75.0,D,1,2018-10-19,302.96,66,995.31,302.96,302.96
-13.142000000000001,-66.945,327.3,1.3,1.1,10/19/2018,1820,A,78,6.0NRT,298.1,18.6,D,1,2018-10-19,302.96,66,995.31,302.96,302.96
-12.934000000000001,-68.035,328.9,1.1,1.1,10/19/2018,1820,A,39,6.0NRT,281.4,22.2,D,0,2018-10-19,305.185,60,994.25,305.185,305.185
-12.93,-68.031,326.4,1.1,1.1,10/19/2018,1820,A,54,6.0NRT,277.9,22.2,D,0,2018-10-19,305.185,60,994.25,305.185,305.185
-12.931,-68.041,326.0,1.1,1.1,10/19/2018,1820,A,47,6.0NRT,279.2,21.7,D,0,2018-10-19,305.185,60,994.25,305.185,305.185
-13.262,-70.304,312.0,1.0,1.0,10/19/2018,1820,A,61,6.0NRT,293.8,5.9,D,0,2018-10-19,298.51,87,937.92,298.51,298.51
-13.263,-70.313,312.3,1.0,1.0,10/19/2018,1820,A,59,6.0NRT,293.7,5.9,D,0,2018-10-19,298.51,87,937.92,298.51,298.51
-13.267999999999999,-70.34899999999999,314.9,1.0,1.0,10/19/2018,1820,A,67,6.0NRT,294.9,7.6,D,1,2018-10-19,298.51,87,937.92,298.51,298.51
-12.922,-68.043,318.7,1.1,1.1,10/19/2018,1820,A,64,6.0NRT,276.0,14.9,D,0,2018-10-19,305.185,60,994.25,305.185,305.185
-12.923,-68.053,320.7,1.1,1.1,10/19/2018,1820,A,62,6.0NRT,278.0,17.5,D,0,2018-10-19,305.185,60,994.25,305.185,305.185
-13.262,-70.435,308.4,1.0,1.0,10/19/2018,1820,A,22,6.0NRT,288.3,3.5,D,0,2018-10-19,298.51,87,937.92,298.51,298.51
-12.91,-68.098,324.0,1.1,1.1,10/19/2018,1820,A,55,6.0NRT,276.5,19.4,D,0,2018-10-19,305.185,60,994.25,305.185,305.185
-12.912,-68.108,330.3,1.1,1.1,10/19/2018,1820,A,82,6.0NRT,279.5,28.6,D,1,2018-10-19,303.66,57,985.66,303.66,303.66
-12.917,-68.139,323.0,1.1,1.1,10/19/2018,1820,A,42,6.0NRT,272.4,16.5,D,0,2018-10-19,303.66,57,985.66,303.66,303.66
-12.918,-68.149,326.2,1.1,1.1,10/19/2018,1820,A,59,6.0NRT,271.6,21.5,D,0,2018-10-19,303.66,57,985.66,303.66,303.66
-13.253,-70.436,315.4,1.0,1.0,10/19/2018,1820,A,68,6.0NRT,290.8,9.0,D,1,2018-10-19,298.51,87,937.92,298.51,298.51
-13.185,-70.343,334.7,1.0,1.0,10/19/2018,1820,A,87,6.0NRT,297.2,27.0,D,1,2018-10-19,298.51,87,937.92,298.51,298.51
-13.186,-70.352,322.1,1.0,1.0,10/19/2018,1820,A,77,6.0NRT,297.1,12.1,D,1,2018-10-19,298.51,87,937.92,298.51,298.51
-13.187999999999999,-70.362,318.0,1.0,1.0,10/19/2018,1820,A,72,6.0NRT,296.5,8.5,D,1,2018-10-19,298.51,87,937.92,298.51,298.51
-12.207,-64.873,320.6,1.9,1.3,10/19/2018,1820,A,72,6.0NRT,291.4,21.9,D,1,2018-10-19,299.36,88,1001.47,299.36,299.36
-12.866,-69.60300000000001,315.0,1.0,1.0,10/19/2018,1820,A,61,6.0NRT,296.7,6.2,D,0,2018-10-19,305.15,55,1005.0,305.15,305.15
-12.867,-69.612,337.4,1.0,1.0,10/19/2018,1820,A,88,6.0NRT,298.2,32.9,D,1,2018-10-19,305.15,55,1005.0,305.15,305.15
-12.777999999999999,-69.37899999999999,347.0,1.0,1.0,10/19/2018,1820,A,93,6.0NRT,299.6,50.4,D,1,2018-10-19,305.15,55,1005.0,305.15,305.15
-12.895,-70.309,316.3,1.0,1.0,10/19/2018,1820,A,18,6.0NRT,298.5,6.4,D,0,2018-10-19,300.96,80,984.77,300.96,300.96
-12.921,-70.492,314.7,1.0,1.0,10/19/2018,1820,A,58,6.0NRT,296.6,6.1,D,0,2018-10-19,298.51,87,937.92,298.51,298.51
-12.854000000000001,-70.09100000000001,317.9,1.0,1.0,10/19/2018,1820,A,23,6.0NRT,297.9,7.5,D,0,2018-10-19,300.96,80,984.77,300.96,300.96
-12.769,-69.567,320.2,1.0,1.0,10/19/2018,1820,A,60,6.0NRT,300.7,8.3,D,0,2018-10-19,305.15,55,1005.0,305.15,305.15
-12.844000000000001,-70.083,319.0,1.0,1.0,10/19/2018,1820,A,40,6.0NRT,298.5,9.0,D,0,2018-10-19,300.96,80,984.77,300.96,300.96
-12.845,-70.092,320.4,1.0,1.0,10/19/2018,1820,A,61,6.0NRT,298.2,10.4,D,0,2018-10-19,300.96,80,984.77,300.96,300.96
-12.738,-69.477,341.5,1.0,1.0,10/19/2018,1820,A,90,6.0NRT,299.6,35.7,D,1,2018-10-19,305.15,55,1005.0,305.15,305.15
-12.729000000000001,-69.47800000000001,349.9,1.0,1.0,10/19/2018,1820,A,95,6.0NRT,301.1,52.6,D,1,2018-10-19,305.15,55,1005.0,305.15,305.15
-12.804,-69.995,325.7,1.0,1.0,10/19/2018,1820,A,79,6.0NRT,298.9,16.6,D,1,2018-10-19,300.96,80,984.77,300.96,300.96
-12.527000000000001,-69.107,323.5,1.0,1.0,10/19/2018,1820,A,71,6.0NRT,300.5,11.3,D,1,2018-10-19,305.15,55,1005.0,305.15,305.15
-11.741,-64.915,311.9,1.9,1.3,10/19/2018,1820,A,22,6.0NRT,281.2,12.9,D,0,2018-10-19,299.36,88,1001.47,299.36,299.36
-12.498,-71.149,310.4,1.0,1.0,10/19/2018,1820,A,38,6.0NRT,293.6,5.2,D,0,2018-10-19,293.86,100,886.77,293.86,293.86
-12.619000000000002,-73.241,309.3,1.2,1.1,10/19/2018,1820,A,51,6.0NRT,294.5,5.5,D,0,2018-10-19,292.61,92,857.59,292.61,292.61
-12.225,-74.116,313.6,1.4,1.2,10/19/2018,1820,A,60,6.0NRT,291.5,11.6,D,0,2018-10-19,287.785,91,777.66,287.785,287.785
-12.227,-74.11,316.7,1.4,1.2,10/19/2018,1820,A,66,6.0NRT,290.5,14.9,D,1,2018-10-19,287.785,91,777.66,287.785,287.785
-11.0,-68.447,323.8,1.1,1.1,10/19/2018,1820,A,38,6.0NRT,298.0,12.1,D,0,2018-10-19,303.15,70,1006.0,303.15,303.15
-10.929,-69.392,349.5,1.0,1.0,10/19/2018,1820,A,95,6.0NRT,289.3,58.9,D,1,2018-10-19,303.15,70,1006.0,303.15,303.15
-10.937000000000001,-69.449,318.8,1.0,1.0,10/19/2018,1820,A,61,6.0NRT,287.6,11.6,D,0,2018-10-19,303.61,61,984.77,303.61,303.61
-10.874,-69.131,318.9,1.1,1.0,10/19/2018,1820,A,65,6.0NRT,287.5,11.5,D,0,2018-10-19,303.15,70,1006.0,303.15,303.15
-10.936,-69.619,312.0,1.0,1.0,10/19/2018,1820,A,49,6.0NRT,286.2,6.9,D,0,2018-10-19,303.61,61,984.77,303.61,303.61
-10.937999999999999,-69.628,317.1,1.0,1.0,10/19/2018,1820,A,68,6.0NRT,285.1,11.5,D,1,2018-10-19,303.61,61,984.77,303.61,303.61
-10.800999999999998,-68.829,316.0,1.1,1.0,10/19/2018,1820,A,17,6.0NRT,282.7,8.8,D,0,2018-10-19,303.15,70,1006.0,303.15,303.15
-10.773,-68.71,344.7,1.1,1.1,10/19/2018,1820,A,92,6.0NRT,289.4,55.0,D,1,2018-10-19,303.15,70,1006.0,303.15,303.15
-10.775,-68.72,368.0,1.1,1.1,10/19/2018,1820,A,100,6.0NRT,285.7,123.1,D,1,2018-10-19,303.15,70,1006.0,303.15,303.15
-10.853,-69.37,331.5,1.1,1.0,10/19/2018,1820,A,85,6.0NRT,287.4,27.4,D,1,2018-10-19,303.15,70,1006.0,303.15,303.15
-10.859000000000002,-69.408,323.8,1.0,1.0,10/19/2018,1820,A,78,6.0NRT,286.3,17.1,D,1,2018-10-19,303.61,61,984.77,303.61,303.61
-10.821,-69.527,310.0,1.0,1.0,10/19/2018,1820,A,54,6.0NRT,279.1,8.0,D,0,2018-10-19,303.61,61,984.77,303.61,303.61
-10.738,-69.028,335.2,1.1,1.0,10/19/2018,1820,A,87,6.0NRT,289.5,32.8,D,1,2018-10-19,303.15,70,1006.0,303.15,303.15
-11.249,-74.366,313.8,1.4,1.2,10/19/2018,1820,A,42,6.0NRT,296.9,12.2,D,0,2018-10-19,296.06,81,897.47,296.06,296.06
-11.252,-74.359,313.7,1.4,1.2,10/19/2018,1820,A,45,6.0NRT,295.9,10.6,D,0,2018-10-19,296.06,81,897.47,296.06,296.06
-11.19,-74.37100000000001,336.0,1.4,1.2,10/19/2018,1820,A,88,6.0NRT,299.7,45.4,D,1,2018-10-19,296.06,81,897.47,296.06,296.06
-11.192,-74.382,327.1,1.4,1.2,10/19/2018,1820,A,82,6.0NRT,299.1,27.6,D,1,2018-10-19,296.06,81,897.47,296.06,296.06
-11.198,-74.508,319.4,1.4,1.2,10/19/2018,1820,A,63,6.0NRT,296.7,17.5,D,0,2018-10-19,296.06,81,897.47,296.06,296.06
-11.199000000000002,-74.521,327.4,1.4,1.2,10/19/2018,1820,A,82,6.0NRT,297.1,31.1,D,1,2018-10-19,296.06,81,897.47,296.06,296.06
-11.172,-74.396,313.1,1.4,1.2,10/19/2018,1820,A,46,6.0NRT,296.2,10.1,D,0,2018-10-19,296.06,81,897.47,296.06,296.06
-11.038,-73.688,319.5,1.2,1.1,10/19/2018,1820,A,75,6.0NRT,295.8,15.4,D,1,2018-10-19,300.685,71,969.04,300.685,300.685
-10.829,-73.425,324.0,1.2,1.1,10/19/2018,1820,A,79,6.0NRT,294.1,21.5,D,1,2018-10-19,300.26,80,975.61,300.26,300.26
-10.970999999999998,-74.637,315.0,1.4,1.2,10/19/2018,1820,A,56,6.0NRT,297.6,11.0,D,0,2018-10-19,297.01,81,918.38,297.01,297.01
-11.062000000000001,-75.332,311.7,1.6,1.2,10/19/2018,1820,A,24,6.0NRT,293.8,11.7,D,0,2018-10-19,286.21,100,749.53,286.21,286.21
-10.923,-74.877,316.7,1.5,1.2,10/19/2018,1825,A,40,6.0NRT,299.0,12.1,D,0,2018-10-19,296.31,81,930.94,296.31,296.31
-10.619000000000002,-73.445,313.9,1.2,1.1,10/19/2018,1825,A,55,6.0NRT,295.7,7.5,D,0,2018-10-19,300.26,80,975.61,300.26,300.26
-10.689,-73.97,311.0,1.3,1.1,10/19/2018,1825,A,54,6.0NRT,294.2,7.3,D,0,2018-10-19,300.685,71,969.04,300.685,300.685
-10.482999999999999,-75.618,325.3,1.6,1.3,10/19/2018,1825,A,82,6.0NRT,291.2,41.2,D,1,2018-10-19,288.86,100,808.46,288.86,288.86
-10.459000000000001,-75.609,313.3,1.6,1.3,10/19/2018,1825,A,50,6.0NRT,296.4,15.9,D,0,2018-10-19,288.86,100,808.46,288.86,288.86
-10.46,-75.62100000000001,330.2,1.6,1.3,10/19/2018,1825,A,86,6.0NRT,295.2,53.6,D,1,2018-10-19,288.86,100,808.46,288.86,288.86
-9.264,-74.206,326.2,1.3,1.1,10/19/2018,1825,A,82,6.0NRT,296.3,26.2,D,1,2018-10-19,297.335,89,991.98,297.335,297.335
