latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,incendio,fecha,temperatura,humedad,pr_atm,temp_min,temp_max
-17.901,-40.075,310.7,1.1,1.0,10/19/2018,125,T,81,6.0NRT,289.5,10.0,N,1,2018-10-19,299.971,54,1014.13,299.971,299.971
-17.903,-40.085,308.2,1.0,1.0,10/19/2018,125,T,74,6.0NRT,289.9,8.1,N,1,2018-10-19,299.971,54,1014.13,299.971,299.971
-17.255,-39.397,305.5,1.1,1.1,10/19/2018,125,T,65,6.0NRT,289.9,7.4,N,0,2018-10-19,298.971,57,1020.45,298.971,298.971
-17.257,-39.407,330.0,1.1,1.1,10/19/2018,125,T,100,6.0NRT,290.6,34.1,N,1,2018-10-19,298.971,57,1020.45,298.971,298.971
-17.235,-39.518,304.5,1.1,1.1,10/19/2018,125,T,60,6.0NRT,289.5,6.0,N,0,2018-10-19,298.971,57,1020.45,298.971,298.971
-17.226,-39.52,302.7,1.1,1.1,10/19/2018,125,T,51,6.0NRT,290.3,4.8,N,0,2018-10-19,298.971,57,1020.45,298.971,298.971
-16.702,-40.12300000000001,315.9,1.1,1.0,10/19/2018,125,T,92,6.0NRT,289.8,15.3,N,1,2018-10-19,294.596,71,973.84,294.596,294.596
-16.704,-40.132,320.0,1.1,1.0,10/19/2018,125,T,100,6.0NRT,289.9,19.3,N,1,2018-10-19,294.596,71,973.84,294.596,294.596
-16.692999999999998,-40.124,305.6,1.1,1.0,10/19/2018,125,T,65,6.0NRT,288.9,7.4,N,0,2018-10-19,294.596,71,973.84,294.596,294.596
-16.569000000000006,-40.146,300.3,1.1,1.0,10/19/2018,125,T,23,6.0NRT,288.8,3.6,N,0,2018-10-19,294.596,71,973.84,294.596,294.596
-16.642,-42.109,303.4,1.0,1.0,10/19/2018,125,T,55,6.0NRT,289.5,4.0,N,0,2018-10-19,292.221,85,971.17,292.221,292.221
-15.102,-43.316,326.5,1.0,1.0,10/19/2018,125,T,100,6.0NRT,293.5,23.8,N,1,2018-10-19,297.07099999999997,68,959.66,297.07099999999997,297.07099999999997
-15.093,-43.31800000000001,316.1,1.0,1.0,10/19/2018,125,T,93,6.0NRT,292.9,12.9,N,1,2018-10-19,297.07099999999997,68,959.66,297.07099999999997,297.07099999999997
-13.954,-45.832,308.0,1.3,1.1,10/19/2018,125,T,60,6.0NRT,283.2,11.7,N,0,2018-10-19,293.871,100,940.28,293.871,293.871
-13.646,-43.619,315.5,1.0,1.0,10/19/2018,125,T,91,6.0NRT,294.2,11.9,N,1,2018-10-19,297.02099999999996,79,968.09,297.02099999999996,297.02099999999996
-13.648,-43.628,317.1,1.0,1.0,10/19/2018,125,T,94,6.0NRT,294.5,13.4,N,1,2018-10-19,297.02099999999996,79,968.09,297.02099999999996,297.02099999999996
-13.942,-45.822,318.8,1.3,1.1,10/19/2018,125,T,97,6.0NRT,283.8,24.0,N,1,2018-10-19,293.871,100,940.28,293.871,293.871
-13.943,-45.834,309.0,1.3,1.1,10/19/2018,125,T,49,6.0NRT,283.1,12.1,N,0,2018-10-19,293.871,100,940.28,293.871,293.871
-13.637,-43.62,310.2,1.0,1.0,10/19/2018,125,T,79,6.0NRT,293.8,7.9,N,1,2018-10-19,297.02099999999996,79,968.09,297.02099999999996,297.02099999999996
-13.638,-43.63,308.5,1.0,1.0,10/19/2018,125,T,75,6.0NRT,294.2,6.6,N,1,2018-10-19,297.02099999999996,79,968.09,297.02099999999996,297.02099999999996
-13.932,-45.823,323.5,1.3,1.1,10/19/2018,125,T,100,6.0NRT,284.5,30.3,N,1,2018-10-19,293.871,100,940.28,293.871,293.871
-13.933,-45.835,339.1,1.3,1.1,10/19/2018,125,T,100,6.0NRT,285.8,61.7,N,1,2018-10-19,293.871,100,940.28,293.871,293.871
-13.935,-45.847,316.8,1.3,1.1,10/19/2018,125,T,84,6.0NRT,284.5,21.2,N,1,2018-10-19,293.871,100,940.28,293.871,293.871
-13.923,-45.837,310.7,1.3,1.1,10/19/2018,125,T,78,6.0NRT,284.1,14.8,N,1,2018-10-19,293.871,100,940.28,293.871,293.871
-12.808,-40.145,304.7,1.2,1.1,10/19/2018,125,T,61,6.0NRT,291.6,6.1,N,0,2018-10-19,302.746,51,992.08,302.746,302.746
-12.613,-39.945,306.8,1.2,1.1,10/19/2018,125,T,69,6.0NRT,291.9,8.6,N,1,2018-10-19,302.746,51,992.08,302.746,302.746
-13.015,-43.979,303.3,1.1,1.0,10/19/2018,125,T,55,6.0NRT,292.4,3.9,N,0,2018-10-19,299.121,75,970.68,299.121,299.121
-12.231,-43.422,305.2,1.0,1.0,10/19/2018,125,T,63,6.0NRT,294.0,3.8,N,0,2018-10-19,301.82099999999997,74,966.87,301.82099999999997,301.82099999999997
-10.006,-36.024,305.9,2.5,1.5,10/19/2018,125,T,66,6.0NRT,292.8,22.8,N,1,2018-10-19,304.15,55,1011.0,304.15,304.15
-9.78,-35.934,317.3,2.6,1.5,10/19/2018,125,T,95,6.0NRT,291.7,59.7,N,1,2018-10-19,304.15,55,1011.0,304.15,304.15
-9.802,-36.374,302.5,2.4,1.5,10/19/2018,125,T,49,6.0NRT,291.5,16.5,N,0,2018-10-19,306.421,41,983.17,306.421,306.421
-10.839,-44.71100000000001,305.3,1.1,1.0,10/19/2018,125,T,64,6.0NRT,291.2,6.1,N,0,2018-10-19,304.221,57,961.77,304.221,304.221
-10.685,-49.558,302.1,2.2,1.4,10/19/2018,125,T,34,6.0NRT,283.9,16.7,N,0,2018-10-19,303.971,83,996.22,303.971,303.971
-6.556,-43.224,317.7,1.0,1.0,10/19/2018,130,T,95,6.0NRT,293.1,13.8,N,1,2018-10-19,299.52099999999996,94,999.38,299.52099999999996,299.52099999999996
-6.557,-43.233,339.5,1.0,1.0,10/19/2018,130,T,100,6.0NRT,293.8,41.4,N,1,2018-10-19,299.52099999999996,94,999.38,299.52099999999996,299.52099999999996
-6.0939999999999985,-45.889,308.1,1.1,1.0,10/19/2018,130,T,74,6.0NRT,283.7,8.4,N,1,2018-10-19,302.57099999999997,80,994.6,302.57099999999997,302.57099999999997
-6.087999999999999,-45.886,305.9,1.1,1.0,10/19/2018,130,T,66,6.0NRT,284.1,7.2,N,1,2018-10-19,302.57099999999997,80,994.6,302.57099999999997,302.57099999999997
-5.499,-43.87300000000001,310.7,1.0,1.0,10/19/2018,130,T,81,6.0NRT,294.5,8.4,N,1,2018-10-19,305.57099999999997,56,1007.16,305.57099999999997,305.57099999999997
-5.6370000000000005,-45.244,305.4,1.0,1.0,10/19/2018,130,T,64,6.0NRT,292.9,4.8,N,0,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.629,-45.242,328.4,1.0,1.0,10/19/2018,130,T,100,6.0NRT,293.7,26.6,N,1,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.63,-45.25100000000001,307.3,1.0,1.0,10/19/2018,130,T,71,6.0NRT,292.2,6.5,N,1,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.475,-44.614,306.2,1.0,1.0,10/19/2018,130,T,67,6.0NRT,293.8,4.9,N,1,2018-10-19,305.121,61,1003.67,305.121,305.121
